industry_code,hires,openings,layoffs,quits,NA,hires_pre_level,openings_pre_level,layoffs_pre_level,quits_pre_level,NA_pre_level,title,prebreak_unw,prebreak,initial,postbreak,future,members,emp_w,catchup,z_prebreak,z_initial,z_postbreak,z_future
110099,0.1166666666666667,-0.40000000000000036,-0.2499999999999999,0.01666666666666705,-0.25,4.4,3.75,1.586111111111111,2.341666666666667,4.186111111111111,Mining and logging,3.333333333333333,3.333333333333333,NA,8.821428571428571,4.3875,21,592.55,-13.458911223067993,-0.6341729278284758,NA,-1.031154025141045,-0.7349464060192199
230000,-0.6500000000000004,-1.9999999999999996,-0.31666666666666665,-0.2833333333333332,-0.5333333333333337,5.4,3.5027777777777778,2.6277777777777778,2.3,5.1305555555555555,Construction,2.214814814814815,2.214814814814815,1.3384615384615384,10.435294117647059,3.5462962962962963,23,8096,7.738973973360963,-0.8567424597947941,-0.8786335109432258,-0.8686761620355745,-0.8660769467042554
300000,-0.5166666666666666,-0.5833333333333335,-0.15000000000000002,-0.41666666666666674,-0.5333333333333332,2.727777777777778,3.3,0.8694444444444445,1.6055555555555556,2.6333333333333333,Manufacturing,3.185185185185185,3.185185185185185,2.4692307692307693,15.117647058823529,5.155555555555557,31,12861.166666666666,0.642227896444858,-0.6636523360359352,-0.5962784922872357,-0.397274624298693,-0.6152185210459264
420000,-0.31666666666666643,-0.4833333333333334,-0.09999999999999998,-0.1499999999999999,-0.33333333333333304,2.4611111111111112,3.386111111111111,0.7555555555555555,1.4833333333333334,2.4055555555555554,Wholesale trade,3.588888888888889,3.5888888888888895,2.2,15.711764705882354,5.727777777777778,42,6127.483333333334,3.9755931932102584,-0.5833209486706082,-0.663505877681519,-0.33746111260092265,-0.5260179991490066
440000,-0.20000000000000018,0.4166666666666661,0.06666666666666676,-0.033333333333333215,-0.05000000000000071,4.697222222222222,4.938888888888889,1.2972222222222223,3.1416666666666666,4.75,Retail trade,4.0055555555555555,4.0055555555555555,3.076923076923077,13.882352941176471,5.622222222222222,44,15531.65,-0.11839765617338571,-0.5004101130871288,-0.4445366795401391,-0.5216393515910863,-0.5424724643532929
480099,0.34999999999999964,-1.1833333333333327,0.44999999999999996,-0.06666666666666643,0.3500000000000001,3.9277777777777776,4.430555555555555,1.3472222222222223,2.0166666666666666,3.577777777777778,"Transportation, warehousing, and utilities",6.02311320754717,2.651867070334173,1.425,8.663458502998283,3.7710020302045844,22+48,7174.366666666667,10.540464072400196,-0.7697751773177837,-0.8570247084950633,-1.047057852577797,-0.8310488265798577
510000,0.5666666666666669,-1.1000000000000005,1.1166666666666667,-0.21666666666666679,0.6833333333333336,3.1666666666666665,4.247222222222222,1.2361111111111112,1.613888888888889,3.1,Information,20.11111111111111,20.11111111111111,15.984615384615385,39.22352941176471,25.81111111111111,51,2962,3.373276106003953,2.7043700516663014,2.7785362545057866,2.0296141968642987,2.6046605120875577
520000,0.06666666666666665,-0.7666666666666666,0.016666666666666663,-0.16666666666666652,0.03333333333333344,2.188888888888889,4.311111111111111,0.48333333333333334,1.211111111111111,2.05,Finance and insurance,8.99074074074074,8.99074074074074,5.984615384615386,32.16470588235294,14.162962962962963,52,6704.233333333334,4.124895109978688,0.49157197309388,0.28151908271812093,1.318958612336336,0.788895843053165
530000,-0.5000000000000004,-2.016666666666666,-0.3666666666666667,-0.08333333333333326,-0.5500000000000003,3.327777777777778,3.9972222222222222,1.0333333333333334,1.9027777777777777,3.088888888888889,Real estate and rental and leasing,9.03888888888889,9.03888888888889,7.230769230769231,25.058823529411764,12.414814814814815,53,2467.0333333333333,6.140606094598056,0.5011527807613045,0.5926858379716606,0.6035653239115206,0.5163868052839333
540099,-0.16666666666666696,-0.4833333333333334,0.21666666666666679,-0.5666666666666669,-0.35000000000000053,5.433333333333334,5.419444444444444,1.9805555555555556,3.0277777777777777,5.283333333333333,Professional and business services,12.813117283950618,11.6553261586071,7.721868332594584,27.39428810727062,15.237286900000466,54+55+56,22681.38333333333,5.286356191349892,1.0217871814431316,0.7153141270024012,0.8386910410805605,0.956366193117416
