occ2010,AIOE,dv_rating_beta,human_rating_beta,genaiexp_estz_total,genaiexp_estz_core,ai_applicability_score,pca_score
0000,NA,NA,NA,NA,NA,NA,NA
0010,1.3342459999999996,0.5077777777777778,0.36944444444444424,0.47939067999999985,0.4229390599999998,0.155502898114603,1.8922688367491658
0020,0.5748773,0.4807692307692308,0.3846153846153846,0.29411766,0.11764706,0.1210284326840145,0.4791021650730768
0040,1.2943870000000002,0.4767441860465116,0.5465116279069767,0.36666667,0.30000001000000004,0.1954088804120378,1.865723151302908
0050,1.290656,0.475,0.5307291666666667,0.372058825,0.267647065,0.17667254897112333,1.7048410847105286
0060,0,0.5540847937688086,0.5504912373871482,0,0,0.20490689727518477,0.2497905627392229
0100,0.36991389999999996,0.3957333427442123,0.45211038961038963,0.21029244499999994,0.21029244499999994,0.0748872755428843,0.2494493528250793
0110,1.0598530000000002,0.5303030303030303,0.5606060606060607,0.5588235300000001,0.5294117900000002,0.1518935143886481,2.5612095432223323
0120,1.4457723604047452,0.4850552306692657,0.4541306971131532,0.4355397433113182,0.22983313150703721,0.1488033543322555,1.5671593533213186
0135,1.2982349999999998,0.513157894736842,0.4605263157894737,0.41666665999999997,0.2708333399999999,0.1413063122763342,1.5964964991874548
0136,1.3204170000000002,0.48,0.45,0.3846153900000001,0.3846153900000001,0.1370417874755325,1.6835970958000572
0137,1.284423,0.5,0.4772727272727273,0.5,0.41666666,0.1929281337086295,2.2350192939036524
0140,0.5086877999999999,0.40571870150289957,0.3296039063138119,0.22676243999999995,0.19529625999999992,0.122058975083806,0.2424362932429255
0150,1.423426,0.5857142857142857,0.4714285714285715,0.41666666,0.41666666,0.1054953784861409,1.9775843270516476
0160,0.888989796686153,0.486525974025974,0.4729707792207792,0.4241400295910876,0.3908741190872963,0.20626203396509368,1.898611082478536
0205,-0.14436833065099444,0.3673469387755101,0.2448979591836734,0.08333329596988273,0.08333329596988273,0.0961190479821949,-0.8483222822654914
0220,1.029139,0.4444444444444445,0.4,0.18000001,0.14,0.1450059596749093,0.5540374026400805
0230,1.1503609982031815,0.4310391820464069,0.46879789192153065,0.3590024519830183,0.25963912902390474,0.12419482733317917,1.2118264051599328
0300,0.8370104999999999,0.44261083743842367,0.3307881773399014,0.5119047799999998,0.34711777999999993,0.1719918890553441,1.450697939305245
