date,slope,se,r2,n
2023-09-11,5.17623586805931,1.83966596199201,0.37538358718705,28
2023-09-25,4.21877275451601,1.76390557852398,0.263698794564049,26
2023-10-09,5.59516438246481,1.93705373321103,0.419343264410175,25
2023-10-23,5.45686927681435,1.61687670819293,0.413456813046984,27
2023-11-06,5.52414141534825,1.67445604102304,0.434983021361026,31
2023-11-20,5.24085082707775,1.469191317327,0.464682423787062,33
2023-12-04,6.16409628808433,1.92681089106988,0.388327423060542,30
2023-12-18,7.69119252489985,2.93097522070604,0.341190472444042,31
2024-01-01,6.14110677842048,1.90075778397067,0.450995425901957,27
2024-01-15,7.78121805613773,1.76829026729005,0.506012896982489,30
2024-01-29,6.50822976004209,2.27856080162809,0.436355105893187,25
2024-02-12,6.47759175739993,1.97221434317748,0.422792399713317,33
2024-02-26,5.91079875685213,1.89371118669849,0.418169532907787,25
2024-03-11,6.99086475307851,2.41124387736725,0.441606871094416,31
2024-03-25,4.27351283483712,1.42493661712476,0.371460958192686,24
2024-04-08,5.08671139609912,1.49004589327313,0.293799532736977,26
2024-04-22,6.68175327428738,2.58236513064585,0.442243520771428,29
2024-05-06,8.12985298709025,2.35254920079397,0.454259742249418,35
2024-05-20,4.83238377889459,1.59173978150908,0.35084423529049,27
2024-06-03,8.10342080867477,3.61351377078641,0.386625285055055,30
2024-06-17,5.57386369527399,1.59439141957967,0.494826269222313,26
2024-07-01,5.02338381093439,1.90775047692601,0.297818930060808,28
2024-07-15,5.50864688825141,1.5828283613725,0.381763681046072,26
2024-07-29,8.81325427187889,3.14128911315536,0.436854842413086,33
2024-08-12,8.10834185555367,2.36210383310368,0.420195532203266,30
2024-08-26,6.4057233088407,1.75955729447067,0.344856506316878,31
2024-09-09,7.08006658336777,2.15810209797846,0.43722159875188,27
2024-09-23,7.20994220075336,2.14827252320397,0.387388243218339,32
2024-10-07,7.63891346425765,2.45205196411673,0.382450014910366,28
2024-10-21,9.09151065476588,3.12346860583378,0.486188473274617,30
2024-11-04,9.74137603398807,3.19092836534584,0.38783792282314,30
2024-11-18,5.41578882619548,1.47386359372039,0.383408084916885,28
2024-12-02,7.1172145954456,2.19956335241913,0.423515683950788,27
2024-12-16,8.39845619052648,2.77790184745941,0.363456555025481,31
2024-12-30,7.71893161602062,2.49754915141376,0.386449301236613,28
2025-01-13,9.62191222726498,2.75109176466543,0.497935568947086,30
2025-01-27,8.7304873758381,2.20437769943092,0.445369453825903,31
2025-02-10,7.79516049495141,2.41872245979322,0.395535086362323,32
2025-02-24,8.40180623826178,2.1716794391043,0.477646899088808,33
2025-03-10,9.71591842557838,2.37729223423836,0.505062597372804,35
2025-03-24,9.07996232542036,2.56682352634976,0.423347720555366,33
2025-04-07,11.030461584873,3.75753460430792,0.477908607915159,34
2025-04-21,12.2590150615915,3.47246869275262,0.448095661500664,32
2025-05-05,8.0400335633968,1.93821209598383,0.438289728780705,34
2025-05-19,10.3593237999031,2.99557973424089,0.433904113010999,34
2025-06-02,9.88704113654876,2.34944768837138,0.477031854120704,35
2025-06-16,11.1572871565867,2.74688545978526,0.520494634400511,35
2025-06-30,10.1735932509747,2.23259667314896,0.562671452682165,35
2025-07-14,13.5715033217142,3.87924445021261,0.563258792703272,37
2025-07-28,8.66847663753763,1.99424569205838,0.517566613790193,36
2025-08-11,12.8094212999006,3.02932045962681,0.619518716921556,35
2025-08-25,11.9663044462864,3.05381732655506,0.569758476970726,36
2025-09-08,12.8179690423959,2.83222091994138,0.599372766156553,39
2025-09-22,9.93780144525869,2.25285764020735,0.434376381953902,35
